mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
16.041,0.758,0.849,0.19,0.666,0.267,1.972,4.532,0.0
15.332,0.747,0.928,0.194,0.715,0.261,2.098,4.51,0.0
15.788,0.752,1.0,0.189,0.71,0.27,2.17,4.608,0.0
15.399,0.748,0.924,0.185,0.728,0.26,2.097,4.483,0.0
15.316,0.745,0.882,0.191,0.718,0.257,2.048,4.59,0.0
15.226,0.761,0.892,0.186,0.677,0.261,2.016,4.521,0.0
15.429,0.762,0.867,0.188,0.657,0.256,1.967,4.581,0.0
16.78,0.749,0.998,0.185,0.706,0.26,2.149,4.499,0.0
15.88,0.755,0.997,0.195,0.699,0.261,2.151,4.437,0.0
16.733,0.742,0.945,0.195,0.697,0.263,2.1,4.474,0.0
16.043,0.754,0.843,0.182,0.676,0.263,1.963,4.625,0.0
16.104,0.744,0.972,0.195,0.711,0.268,2.146,4.642,0.0
15.692,0.754,0.889,0.197,0.706,0.257,2.049,4.432,0.0
16.047,0.77,0.929,0.189,0.662,0.255,2.036,4.449,0.0
15.831,0.742,0.925,0.191,0.708,0.261,2.085,4.433,0.0
15.674,0.748,0.866,0.19,0.689,0.258,2.003,4.516,0.0
16.997,0.525,2.469,0.391,3.098,0.402,6.36,61.666,0.0
15.549,0.523,2.152,0.371,2.729,0.395,5.647,30.645,0.0
15.697,0.523,2.186,0.371,2.686,0.396,5.639,21.227,0.0
16.086,0.525,2.252,0.372,2.586,0.386,5.596,22.022,0.0
15.793,0.529,2.223,0.37,2.586,0.388,5.568,18.11,0.0
16.441,0.534,2.113,0.369,2.512,0.386,5.381,16.991,0.0
16.427,0.532,2.084,0.356,2.552,0.383,5.375,15.674,0.0
16.568,0.529,2.149,0.363,2.529,0.38,5.421,17.963,0.0
16.051,0.533,2.198,0.356,2.47,0.376,5.4,16.729,0.0
16.59,0.532,2.084,0.356,2.458,0.385,5.284,16.941,0.0
17.017,0.536,2.142,0.357,2.427,0.378,5.305,14.174,0.0
17.482,0.536,2.229,0.355,2.429,0.372,5.385,16.401,0.0
16.8,0.533,2.114,0.356,2.406,0.375,5.251,14.021,0.0
16.531,0.537,2.181,0.359,2.441,0.37,5.351,13.599,0.0
15.978,0.536,2.049,0.342,2.443,0.379,5.213,13.492,0.0
15.874,0.541,2.058,0.352,2.406,0.37,5.187,13.691,0.0
16.108,0.548,2.098,0.346,2.377,0.367,5.189,13.96,0.0
17.064,0.538,2.148,0.359,2.395,0.376,5.277,12.921,0.0
16.342,0.542,2.049,0.368,2.371,0.364,5.152,13.873,0.0
16.852,0.536,1.983,0.365,2.462,0.374,5.185,14.252,0.0
16.894,0.538,2.029,0.355,2.331,0.365,5.08,12.989,0.0
15.931,0.545,2.01,0.36,2.371,0.369,5.109,13.605,0.0
